circuit_width,circuit_depth,u1,u2,u3,cx,hamming_weight,25_observed_state_prob,50_observed_state_prob,75_observed_state_prob,25_frc_state_error,50_frc_state_error,75_frc_state_error,25_frc_program_error,50_frc_program_error,75_frc_program_error,true_probability,state_name
5,2,2,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,01110
5,2,2,1,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,01111
5,2,2,1,1,3,1,0.0,1.0,1.0,1.0,1.0,2.25,81.0,84.00000000000001,87.00000000000001,0.0,10000
5,2,2,1,1,3,2,0.0,1.0,2.0,3.0,4.0,5.0,81.0,84.00000000000001,87.00000000000001,0.0,10001
5,2,2,1,1,3,2,1.7500000000000002,2.5,4.0,0.0,0.0,1.0,81.0,84.00000000000001,87.00000000000001,0.0,10010
5,2,2,1,1,3,3,2.0,3.0,4.0,0.0,1.0,2.0,81.0,84.00000000000001,87.00000000000001,0.0,10011
5,2,2,1,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,10100
5,2,2,1,1,3,3,0.0,0.0,0.0,0.0,0.0,1.0,81.0,84.00000000000001,87.00000000000001,0.0,10101
5,2,2,1,1,3,3,0.0,0.0,1.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,10110
5,2,2,1,1,3,4,0.0,0.0,1.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,10111
5,2,2,1,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,11000
5,2,2,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,11001
5,2,2,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,11010
5,2,2,1,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,11011
5,2,2,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,11100
5,2,2,1,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,11101
5,2,2,1,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,11110
5,2,2,1,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,81.0,84.00000000000001,87.00000000000001,0.0,11111
2,2,0,0,0,2,0,91.0,92.0,95.0,6.000000000000005,6.999999999999995,8.999999999999996,6.000000000000003,6.999999999999998,8.999999999999998,100.0,00
2,2,0,0,0,2,1,4.0,5.0,6.0,4.0,5.0,6.0,6.000000000000003,6.999999999999998,8.999999999999998,0.0,01
2,2,0,0,0,2,1,1.0,2.0,3.0,1.0,2.0,3.0,6.000000000000003,6.999999999999998,8.999999999999998,0.0,10
2,2,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,6.000000000000003,6.999999999999998,8.999999999999998,0.0,11
4,4,5,2,1,4,0,4.0,6.0,8.0,96.0,96.0,98.0,96.00000000000001,96.00000000000001,98.0,2.0,0000
4,4,5,2,1,4,1,4.0,6.0,7.000000000000001,22.0,24.0,26.0,96.00000000000001,96.00000000000001,98.0,2.0,0001
4,4,5,2,1,4,1,0.0,0.0,0.0,0.0,1.0,1.0,96.00000000000001,96.00000000000001,98.0,0.0,0010
4,4,5,2,1,4,2,0.0,0.0,0.0,5.0,7.000000000000001,8.0,96.00000000000001,96.00000000000001,98.0,0.0,0011
4,4,5,2,1,4,1,17.0,19.0,22.0,0.0,1.0,1.0,96.00000000000001,96.00000000000001,98.0,31.0,0100
4,4,5,2,1,4,2,16.0,18.0,21.0,3.0,4.0,5.0,96.00000000000001,96.00000000000001,98.0,17.0,0101
4,4,5,2,1,4,2,0.0,0.0,1.0,3.0,5.0,6.0,96.00000000000001,96.00000000000001,98.0,0.0,0110
4,4,5,2,1,4,3,0.0,0.0,1.0,32.0,35.0,38.25,96.00000000000001,96.00000000000001,98.0,0.0,0111
4,4,5,2,1,4,1,17.75,21.0,23.0,0.0,1.0,1.0,96.00000000000001,96.00000000000001,98.0,26.0,1000
4,4,5,2,1,4,2,17.0,20.0,22.0,5.0,6.0,7.250000000000001,96.00000000000001,96.00000000000001,98.0,19.0,1001
4,4,5,2,1,4,2,0.0,0.0,1.0,0.0,0.0,0.0,96.00000000000001,96.00000000000001,98.0,0.0,1010
4,4,5,2,1,4,3,0.0,0.0,1.0,1.0,1.0,3.0,96.00000000000001,96.00000000000001,98.0,0.0,1011
4,4,5,2,1,4,2,2.0,3.0,5.0,0.0,0.0,0.0,96.00000000000001,96.00000000000001,98.0,1.0,1100
4,4,5,2,1,4,3,2.0,3.0,5.0,0.0,1.0,2.0,96.00000000000001,96.00000000000001,98.0,2.0,1101
4,4,5,2,1,4,3,0.0,0.0,0.0,0.0,1.0,2.0,96.00000000000001,96.00000000000001,98.0,0.0,1110
